Value,Disaggregation combinations using this value,Number of indicators
1.1.1,30,1
1.2.1,44,1
1.2.2,30,1
1.3.1,1,1
1.5.1,1,1
1.5.2,1,1
1.a.2,3,1
1.a.MZ_1,2,1
10.2.1,18,1
10.4.1,1,1
11.5.2,1,1
14.5.1,1,1
16.3.2,1,1
16.3.MZ_1,1,1
16.3.MZ_2,1,1
16.3.MZ_3,1,1
16.4.MZ_1,5,1
16.9.1,23,1
17.1.1,7,1
17.1.2,1,1
17.13.1,4,1
17.3.2,1,1
17.3.MZ_1,1,1
17.8.1,9,1
2.1.MZ_1,1,1
2.1.MZ_2,2,1
2.2.1,14,1
2.2.2,28,1
2.4.MZ_1,1,1
2.5.1,3,1
2.5.2,1,1
2.a.MZ_1,1,1
3.1.1,1,1
3.1.2,14,1
3.2.1,1,1
3.2.2,1,1
3.2.MZ_1,1,1
3.3.1,1,1
3.3.3,1,1
3.4.1,2,1
3.7.1,14,1
3.7.2,2,1
3.a.1,1,1
3.b.1,1,1
3.c.1,5,1
4.1.MZ_1,6,1
4.1.MZ_2,24,1
4.1.MZ_3,28,1
4.1.MZ_4,42,1
4.1.MZ_5,14,1
4.3.MZ_1,1,1
4.3.MZ_2,1,1
4.3.MZ_3,1,1
4.3.MZ_4,1,1
4.3.MZ_5,1,1
4.4.1,1,1
4.5.1,24,1
4.6.MZ_2,1,1
4.6.MZ_3,1,1
4.a.MZ_1,12,1
4.a.MZ_2,12,1
4.c.1,9,1
4.c.MZ_1,1,1
5.2.1,133,1
5.2.2,1,1
5.3.1,2,1
5.5.1,1,1
5.b.1,16,1
6.1.1,14,1
6.2.1,14,1
6.3.MZ_1,1,1
6.4.1,1,1
6.5.1,1,1
6.b.1,1,1
7.1.1,14,1
8.1.1,1,1
8.10.1,4,1
8.10.MZ_1,1,1
8.5.2,72,1
8.6.1,3,1
8.8.MZ_1,3,1
8.8.MZ_2,1,1
8.9.1,1,1
9.1.2,11,1
9.2.1,1,1
9.2.2,1,1
9.5.1,1,1
9.5.2,1,1
