Value,Disaggregation combinations using this value,Number of indicators
508,431,88
MZ-A,30,18
MZ-B,30,18
MZ-G,30,18
MZ-I,30,18
MZ-L,30,18
MZ-N,30,18
MZ-P,30,18
MZ-Q,30,18
MZ-S,30,18
MZ-T,30,18
MZ2,1,1
MZ3,1,1
MZ4,1,1
MZ6,30,18
