Value,Disaggregation combinations using this value,Number of indicators
1,112,8
10,19,2
11,1,1
14,1,1
16,32,6
17,23,6
2,51,8
3,45,13
4,180,18
5,153,5
6,32,6
7,14,1
8,86,8
9,15,5
