Value,Disaggregation combinations using this value,Number of indicators
AGG_1_2,170,4
AGG_2_3,24,1
AGG_2,146,3
AGG_3,42,1
ISCED11_1,9,1
ISCED11_2,9,1
ISCED11_3,9,1
ISCED11_4,1,1
ISCED97_5B,1,1
_T,829,81
