Value,Disaggregation combinations using this value,Number of indicators
508,599,88
MZ-A,58,18
MZ-B,58,18
MZ-G,58,18
MZ-I,58,18
MZ-L,58,18
MZ-N,58,18
MZ-P,58,18
MZ-Q,58,18
MZ-S,58,18
MZ-T,58,18
MZ2,1,1
MZ3,1,1
MZ4,1,1
MZ6,58,18
