Year,SEX,REF_AREA,TIME_DETAIL,SERIES,UNIT_MEASURE,Value
2000,M,West Bank,2000,IT_MOB_OWN,,
2004,M,West Bank,2004,IT_MOB_OWN,,
2006,M,West Bank,2006,IT_MOB_OWN,,
2009,M,West Bank,2009,IT_MOB_OWN,,
2011,M,West Bank,2011,IT_MOB_OWN,,
2014,M,West Bank,2014,IT_MOB_OWN,,
2018,M,West Bank,2018,IT_MOB_OWN,,
2019,M,West Bank,2019,IT_MOB_OWN,,
2000,M,Gaza Strip,2000,IT_MOB_OWN,,
2004,M,Gaza Strip,2004,IT_MOB_OWN,,
2006,M,Gaza Strip,2006,IT_MOB_OWN,,
2009,M,Gaza Strip,2009,IT_MOB_OWN,,
2011,M,Gaza Strip,2011,IT_MOB_OWN,,
2014,M,Gaza Strip,2014,IT_MOB_OWN,,
2018,M,Gaza Strip,2018,IT_MOB_OWN,,
2019,M,Gaza Strip,2019,IT_MOB_OWN,,
2000,M,PS,2000,IT_MOB_OWN,,36.0
2004,M,PS,2004,IT_MOB_OWN,,45.1
2006,M,PS,2006,IT_MOB_OWN,,52.7
2009,M,PS,2009,IT_MOB_OWN,,66.7
2011,M,PS,2011,IT_MOB_OWN,,76.5
2014,M,PS,2014,IT_MOB_OWN,,81.8
2018,M,PS,2018,IT_MOB_OWN,,79.2
2019,M,PS,2019,IT_MOB_OWN,,
2000,F,West Bank,2000,IT_MOB_OWN,,
2004,F,West Bank,2004,IT_MOB_OWN,,
2006,F,West Bank,2006,IT_MOB_OWN,,
2009,F,West Bank,2009,IT_MOB_OWN,,
2011,F,West Bank,2011,IT_MOB_OWN,,
2014,F,West Bank,2014,IT_MOB_OWN,,
2018,F,West Bank,2018,IT_MOB_OWN,,
2019,F,West Bank,2019,IT_MOB_OWN,,
2000,F,Gaza Strip,2000,IT_MOB_OWN,,
2004,F,Gaza Strip,2004,IT_MOB_OWN,,
2006,F,Gaza Strip,2006,IT_MOB_OWN,,
2009,F,Gaza Strip,2009,IT_MOB_OWN,,
2011,F,Gaza Strip,2011,IT_MOB_OWN,,
2014,F,Gaza Strip,2014,IT_MOB_OWN,,
2018,F,Gaza Strip,2018,IT_MOB_OWN,,
2019,F,Gaza Strip,2019,IT_MOB_OWN,,
2000,F,PS,2000,IT_MOB_OWN,,5.2
2004,F,PS,2004,IT_MOB_OWN,,14.6
2006,F,PS,2006,IT_MOB_OWN,,22.4
2009,F,PS,2009,IT_MOB_OWN,,41.6
2011,F,PS,2011,IT_MOB_OWN,,53.6
2014,F,PS,2014,IT_MOB_OWN,,65.3
2018,F,PS,2018,IT_MOB_OWN,,
2019,F,PS,2019,IT_MOB_OWN,,70.5
2000,_T,West Bank,2000,IT_MOB_OWN,,24.4
2004,_T,West Bank,2004,IT_MOB_OWN,,34.6
2006,_T,West Bank,2006,IT_MOB_OWN,,41.9
2009,_T,West Bank,2009,IT_MOB_OWN,,57.4
2011,_T,West Bank,2011,IT_MOB_OWN,,69.5
2014,_T,West Bank,2014,IT_MOB_OWN,,77.5
2018,_T,West Bank,2018,IT_MOB_OWN,,
2019,_T,West Bank,2019,IT_MOB_OWN,,81.6
2000,_T,Gaza Strip,2000,IT_MOB_OWN,,13.0
2004,_T,Gaza Strip,2004,IT_MOB_OWN,,21.7
2006,_T,Gaza Strip,2006,IT_MOB_OWN,,30.1
2009,_T,Gaza Strip,2009,IT_MOB_OWN,,48.9
2011,_T,Gaza Strip,2011,IT_MOB_OWN,,57.8
2014,_T,Gaza Strip,2014,IT_MOB_OWN,,67.2
2018,_T,Gaza Strip,2018,IT_MOB_OWN,,
2019,_T,Gaza Strip,2019,IT_MOB_OWN,,64.2
2000,_T,PS,2000,IT_MOB_OWN,,20.6
2004,_T,PS,2004,IT_MOB_OWN,,30.0
2006,_T,PS,2006,IT_MOB_OWN,,37.7
2009,_T,PS,2009,IT_MOB_OWN,,54.3
2011,_T,PS,2011,IT_MOB_OWN,,65.2
2014,_T,PS,2014,IT_MOB_OWN,,73.7
2018,_T,PS,2018,IT_MOB_OWN,,
2019,_T,PS,2019,IT_MOB_OWN,,74.9
