Year,seriesdescription,geoarea,sex,age,urbanisation,unit,TIME_DETAIL,Value
2017,SE_PRE_PARTN,716,M,_T,_T,Percent,2017,74.1
2019,SE_PRE_PARTN,716,_T,_T,_T,Percent,2019,81.0
