Year,seriesdescription,geoarea,sex,age,location,disability,unit,TIME_DETAIL,Value
2016,SL_TLF_UEM,UG,F,_T,_T,_T,%,2016,11.4
2016,SL_TLF_UEM,UG,F,_T,_T,PD,%,2016,9.5
2016,SL_TLF_UEM,UG,M,_T,_T,_T,%,2016,8.2
2016,SL_TLF_UEM,UG,M,_T,_T,PD,%,2016,8.6
2016,SL_TLF_UEM,UG,_T,_T,_T,_T,%,2016,9.7
2016,SL_TLF_UEM,UG,_T,_T,_T,PD,%,2016,9.0
