Year,SERIES,REF_AREA,SEX,AGE,URBANISATION,EDUCATION_LEV,UNIT_MEASURE,UNIT_MULT,TIME_DETAIL,Value
2010,D70,BI,_T,_T,_T,_T,PT,0,2010,1.0
2013,D70,BI,_T,_T,_T,_T,PT,0,2013,1.0
2014,D70,BI,_T,_T,_T,_T,PT,0,2014,1.0
2016,D70,BI,_T,_T,_T,_T,PT,0,2016,1.0
