Year,seriesdescription,area,sex,age,urbanisation,education-level,unit,TIME_DETAIL,Value
2015,D15,BI,_T,_T,_T,_T,Percent,2015,10.0
2016,D15,BI,_T,_T,_T,_T,Percent,2016,9.0
