Year,seriesdescription,area,sex,age,urbanisation,education-level,unit,TIME_DETAIL,Value
2010,D137,BI,_T,_T,_T,_T,,2010,0.0339
2011,D137,BI,_T,_T,_T,_T,,2011,0.0317
2012,D137,BI,_T,_T,_T,_T,,2012,0.0299
2013,D137,BI,_T,_T,_T,_T,,2013,0.0284
2014,D137,BI,_T,_T,_T,_T,,2014,0.0269
2015,D137,BI,_T,_T,_T,_T,,2015,0.0255
2016,D137,BI,_T,_T,_T,_T,,2016,0.0251
2017,D137,BI,_T,_T,_T,_T,,2017,0.0244
