Year,seriesdescription,area,sex,age,urbanisation,education-level,unit,scale,Value
2012,D191,BI,_T,_T,_T,_T,,1,19.0
2013,D191,BI,_T,_T,_T,_T,,1,21.0
2014,D191,BI,_T,_T,_T,_T,,1,20.0
2015,D191,BI,_T,_T,_T,_T,,1,21.0
2016,D191,BI,_T,_T,_T,_T,,1,20.0
2017,D191,BI,_T,_T,_T,_T,,1,22.0
