Year,seriesdescription,area,sex,age,urbanisation,education-level,unit,TIME_DETAIL,Value
2010,DC_ODA_BDVL,BI,_T,_T,_T,_T,,2010,0.01
2011,DC_ODA_BDVL,BI,_T,_T,_T,_T,,2011,0.03
2012,DC_ODA_BDVL,BI,_T,_T,_T,_T,,2012,0.1
2013,DC_ODA_BDVL,BI,_T,_T,_T,_T,,2013,0.48
2014,DC_ODA_BDVL,BI,_T,_T,_T,_T,,2014,0.13
