Year,seriesdescription,area,sex,age,urbanisation,education-level,unit,TIME_DETAIL,Value
2010,D200,BI,_T,_T,_T,_T,,2010,43.0
2011,D200,BI,_T,_T,_T,_T,,2011,45.0
2012,D200,BI,_T,_T,_T,_T,,2012,50.0
2013,D200,BI,_T,_T,_T,_T,,2013,44.0
2014,D200,BI,_T,_T,_T,_T,,2014,47.0
2015,D200,BI,_T,_T,_T,_T,,2015,48.0
2016,D200,BI,_T,_T,_T,_T,,2016,59.0
