Year,seriesdescription,area,sex,age,urbanisation,education-level,unit,scale,Value
2015,VC_DSR_MTMP,BI,_T,_T,_T,_T,,1,1.5
2016,VC_DSR_MTMP,BI,_T,_T,_T,_T,,1,1.8
