Year,seriesdescription,area,sex,age,urbanisation,education-level,unit,scale,Value
2010,D178,BI,_T,_T,_T,_T,Percent,1,0.0
2011,D178,BI,_T,_T,_T,_T,Percent,1,0.0
2012,D178,BI,_T,_T,_T,_T,Percent,1,0.0
2013,D178,BI,_T,_T,_T,_T,Percent,1,0.0
2014,D178,BI,_T,_T,_T,_T,Percent,1,100.0
2015,D178,BI,_T,_T,_T,_T,Percent,1,100.0
2016,D178,BI,_T,_T,_T,_T,Percent,1,0.0
2017,D178,BI,_T,_T,_T,_T,Percent,1,0.0
