Year,seriesdescription,area,sex,age,urbanisation,education-level,unit,TIME_DETAIL,Value
2010,SH_PRV_SMOK,BI,_T,Y_GE15,_T,_T,,2010,28.0
2012,SH_PRV_SMOK,BI,_T,Y_GE15,_T,_T,,2012,22.0
