Year,seriesdescription,area,sex,age,urbanisation,education-level,unit,TIME_DETAIL,Value
2015,D14,BI,_T,_T,_T,_T,Percent,2015,18.0
2016,D14,BI,_T,_T,_T,_T,Percent,2016,23.0
