Year,SERIES,REF_AREA,SEX,AGE,URBANISATION,EDUCATION_LEV,UNIT_MEASURE,UNIT_MULT,TIME_DETAIL,Value
2010,EG_ELC_ACCS,BI,_T,_T,_T,_T,PT,0,2010,5.3
2014,EG_ELC_ACCS,BI,_T,_T,_T,_T,PT,0,2014,7.69
2010,EG_ELC_ACCS,BI,_T,_T,U,_T,PT,0,2010,49.0
2014,EG_ELC_ACCS,BI,_T,_T,U,_T,PT,0,2014,52.9
2010,EG_ELC_ACCS,BI,_T,_T,R,_T,PT,0,2010,1.0
2014,EG_ELC_ACCS,BI,_T,_T,R,_T,PT,0,2014,2.68
