Year,REF_AREA,REPORTING_TYPE,TIME_DETAIL,SERIES,UNIT_MEASURE,Value
2000,West Bank,N,2000,VC_IHR_PSRC,PER_100000_POP,2.4
2001,West Bank,N,2001,VC_IHR_PSRC,PER_100000_POP,3.2
2002,West Bank,N,2002,VC_IHR_PSRC,PER_100000_POP,4.7
2003,West Bank,N,2003,VC_IHR_PSRC,PER_100000_POP,5.0
2004,West Bank,N,2004,VC_IHR_PSRC,PER_100000_POP,5.0
2005,West Bank,N,2005,VC_IHR_PSRC,PER_100000_POP,4.7
2008,West Bank,N,2008,VC_IHR_PSRC,PER_100000_POP,2.2
2010,West Bank,N,2010,VC_IHR_PSRC,PER_100000_POP,1.7
2011,West Bank,N,2011,VC_IHR_PSRC,PER_100000_POP,1.3
2012,West Bank,N,2012,VC_IHR_PSRC,PER_100000_POP,1.2
2013,West Bank,N,2013,VC_IHR_PSRC,PER_100000_POP,1.0
2014,West Bank,N,2014,VC_IHR_PSRC,PER_100000_POP,1.0
2015,West Bank,N,2015,VC_IHR_PSRC,PER_100000_POP,2.2
2016,West Bank,N,2016,VC_IHR_PSRC,PER_100000_POP,0.7
2017,West Bank,N,2017,VC_IHR_PSRC,PER_100000_POP,1.3
2018,West Bank,N,2018,VC_IHR_PSRC,PER_100000_POP,0.9
2019,West Bank,N,2019,VC_IHR_PSRC,PER_100000_POP,1.3
2000,Gaza Strip,N,2000,VC_IHR_PSRC,PER_100000_POP,1.9
2001,Gaza Strip,N,2001,VC_IHR_PSRC,PER_100000_POP,2.5
2002,Gaza Strip,N,2002,VC_IHR_PSRC,PER_100000_POP,2.8
2003,Gaza Strip,N,2003,VC_IHR_PSRC,PER_100000_POP,2.0
2004,Gaza Strip,N,2004,VC_IHR_PSRC,PER_100000_POP,3.9
2005,Gaza Strip,N,2005,VC_IHR_PSRC,PER_100000_POP,5.4
2008,Gaza Strip,N,2008,VC_IHR_PSRC,PER_100000_POP,
2010,Gaza Strip,N,2010,VC_IHR_PSRC,PER_100000_POP,
2011,Gaza Strip,N,2011,VC_IHR_PSRC,PER_100000_POP,
2012,Gaza Strip,N,2012,VC_IHR_PSRC,PER_100000_POP,
2013,Gaza Strip,N,2013,VC_IHR_PSRC,PER_100000_POP,
2014,Gaza Strip,N,2014,VC_IHR_PSRC,PER_100000_POP,
2015,Gaza Strip,N,2015,VC_IHR_PSRC,PER_100000_POP,
2016,Gaza Strip,N,2016,VC_IHR_PSRC,PER_100000_POP,
2017,Gaza Strip,N,2017,VC_IHR_PSRC,PER_100000_POP,
2018,Gaza Strip,N,2018,VC_IHR_PSRC,PER_100000_POP,
2019,Gaza Strip,N,2019,VC_IHR_PSRC,PER_100000_POP,
2000,PS,N,2000,VC_IHR_PSRC,PER_100000_POP,2.2
2001,PS,N,2001,VC_IHR_PSRC,PER_100000_POP,2.9
2002,PS,N,2002,VC_IHR_PSRC,PER_100000_POP,3.9
2003,PS,N,2003,VC_IHR_PSRC,PER_100000_POP,3.8
2004,PS,N,2004,VC_IHR_PSRC,PER_100000_POP,4.5
2005,PS,N,2005,VC_IHR_PSRC,PER_100000_POP,4.7
2008,PS,N,2008,VC_IHR_PSRC,PER_100000_POP,
2010,PS,N,2010,VC_IHR_PSRC,PER_100000_POP,
2011,PS,N,2011,VC_IHR_PSRC,PER_100000_POP,
2012,PS,N,2012,VC_IHR_PSRC,PER_100000_POP,
2013,PS,N,2013,VC_IHR_PSRC,PER_100000_POP,
2014,PS,N,2014,VC_IHR_PSRC,PER_100000_POP,
2015,PS,N,2015,VC_IHR_PSRC,PER_100000_POP,
2016,PS,N,2016,VC_IHR_PSRC,PER_100000_POP,
2017,PS,N,2017,VC_IHR_PSRC,PER_100000_POP,
2018,PS,N,2018,VC_IHR_PSRC,PER_100000_POP,
2019,PS,N,2019,VC_IHR_PSRC,PER_100000_POP,
