Year,seriesdescription,geoarea,sex,age,urbanisation,unit,scale,Value
2014,SL_TLF_CHLDEC,716,_T,Y5T17,_T,Percent,1,4.7
2017,SL_TLF_CHLDEC,716,_T,Y5T17,_T,Percent,1,9.1
