Year,seriesdescription,geoarea,sex,age,urbanisation,unit,scale,Value
2014,SH_H2O_SAFE,716,_T,_T,_T,Percent,1,76.0
2015,SH_H2O_SAFE,716,_T,_T,_T,Percent,1,78.0
