Year,SERIES,REF_AREA,SEX,AGE,URBANISATION,UNIT_MEASURE,UNIT_MULT,TIME_DETAIL,Value
2019,VC_PRR_ROBB,716,F,_T,_T,PT,0,2019,40.5
2019,VC_PRR_ROBB,716,M,_T,_T,PT,0,2019,38.2
