Year,seriesdescription,geoarea,sex,age,urbanisation,unit,TIME_DETAIL,Value
2014,GR_G14_GDP,716,_T,_T,_T,Percent,2014,20.01833806627
2015,GR_G14_GDP,716,_T,_T,_T,Percent,2015,19.1499670227922
2016,GR_G14_GDP,716,_T,_T,_T,Percent,2016,17.0989524764709
