Year,seriesdescription,geoarea,sex,age,urbanisation,unit,scale,Value
2017,SE_PRE_PARTN,716,M,_T,_T,Percent,1,74.1
2019,SE_PRE_PARTN,716,_T,_T,_T,Percent,1,81.0
