Year,seriesdescription,geoarea,sex,age,urbanisation,unit,scale,Value
2014,AG_FPA_COMM,716,_T,_T,_T,Percent,1,58.8566143687747
2015,AG_FPA_COMM,716,_T,_T,_T,Percent,1,56.8900470070933
2016,AG_FPA_COMM,716,_T,_T,_T,Percent,1,55.03794245916
2017,AG_FPA_COMM,716,_T,_T,_T,Percent,1,56.4157635344363
