Year,SERIES,REF_AREA,SEX,AGE,URBANISATION,UNIT_MEASURE,UNIT_MULT,TIME_DETAIL,Value
2014,SL_TLF_UEM,716,_T,_T,_T,PT,0,2014,4.8
2017,SL_TLF_UEM,716,_T,_T,_T,PT,0,2017,11.2
