Year,seriesdescription,geoarea,sex,age,urbanisation,unit,TIME_DETAIL,Value
2019,SP_DYN_MRBF18,716,F,Y20T24,_T,Percent,2019,33.7
2019,SP_DYN_MRBF18,716,M,Y20T24,_T,Percent,2019,21.2
2015,SP_DYN_MRB,716,F,Y20T24,_T,Percent,2015,32.4
2019,SP_DYN_MRBF15,716,F,Y20T24,_T,Percent,2019,5.4
2019,SP_DYN_MRBF15,716,M,Y20T24,_T,Percent,2019,0.0
