Year,SERIES,REF_AREA,SEX,AGE,URBANISATION,UNIT_MEASURE,UNIT_MULT,TIME_DETAIL,Value
2014,BX_TRF_PWKR,716,_T,_T,_T,PT,0,2014,6.0
2015,BX_TRF_PWKR,716,_T,_T,_T,PT,0,2015,6.3
2016,BX_TRF_PWKR,716,_T,_T,_T,PT,0,2016,5.4
