Year,REPORTING_TYPE,TIME_DETAIL,SERIES,UNIT_MEASURE,Value
2000,N,2000,VC_DSR_GDPLS,NUMBER,132365.95
2001,N,2001,VC_DSR_GDPLS,NUMBER,20033.77
2003,N,2003,VC_DSR_GDPLS,NUMBER,10732.37
2005,N,2005,VC_DSR_GDPLS,NUMBER,5775.0
2006,N,2006,VC_DSR_GDPLS,NUMBER,5775.0
2009,N,2009,VC_DSR_GDPLS,NUMBER,1042087.0
2010,N,2010,VC_DSR_GDPLS,NUMBER,435262.0
2012,N,2012,VC_DSR_GDPLS,NUMBER,230850.0
2013,N,2013,VC_DSR_GDPLS,NUMBER,3312975.0
2015,N,2015,VC_DSR_GDPLS,NUMBER,5488201.0
2016,N,2016,VC_DSR_GDPLS,NUMBER,5351218.0
2017,N,2017,VC_DSR_GDPLS,NUMBER,563823.0
