Year,SEX,TIME_DETAIL,SERIES,UNIT_MEASURE,Value
2016,_T,2016,SE_TOT_CPLR,NUMBER,68.54
2016,M,2016,SE_TOT_CPLR,NUMBER,62.32
2016,F,2016,SE_TOT_CPLR,NUMBER,74.57
2017,_T,2017,SE_TOT_CPLR,NUMBER,68.15
2017,M,2017,SE_TOT_CPLR,NUMBER,61.93
2017,F,2017,SE_TOT_CPLR,NUMBER,74.67
2018,_T,2018,SE_TOT_CPLR,NUMBER,71.25
2018,M,2018,SE_TOT_CPLR,NUMBER,64.84
2018,F,2018,SE_TOT_CPLR,NUMBER,77.94
