Year,indicador-disponível,sériedescrição,província,sexo,idade,área-de-residência,nível-de-educação,ocupação,deficiência,composição-composta,quintil,unit,TIME_DETAIL,Value
2016,G,VC_DSR_MTMP,508,_T,_T,_T,_T,_T,_T,_T,_T,Percent,2016,125.0
2017,G,VC_DSR_MTMP,508,_T,_T,_T,_T,_T,_T,_T,_T,Percent,2017,3785.4
2018,G,VC_DSR_MTMP,508,_T,_T,_T,_T,_T,_T,_T,_T,Percent,2018,532.8
