Year,SEX,TIME_DETAIL,SERIES,Value
2015,_T,2015,,99.2
2015,M,2015,,99.1
2015,F,2015,,99.35
2016,_T,2016,,99.15
2016,M,2016,,99.1
2016,F,2016,,99.26
2017,_T,2017,,98.55
2017,M,2017,,98.49
2017,F,2017,,98.62
2018,_T,2018,,98.3
2018,M,2018,,98.0
2018,F,2018,,98.6
