Year,seriesdescription,geoarea,sex,age,urbanisation,unit,TIME_DETAIL,Value
2014,EN_LND_SLUM,716,_T,_T,_T,Percent,2014,0.33
2015,EN_LND_SLUM,716,_T,_T,_T,Percent,2015,0.33
2016,EN_LND_SLUM,716,_T,_T,_T,Percent,2016,0.33
2017,EN_LND_SLUM,716,_T,_T,_T,Percent,2017,0.4
2018,EN_LND_SLUM,716,_T,_T,_T,Percent,2018,0.33
