Year,AREA,TIME_DETAIL,Value
2000,West Bank,2000,330.4
2001,West Bank,2001,330.2
2002,West Bank,2002,246.9
2003,West Bank,2003,303.6
2004,West Bank,2004,277.0
2005,West Bank,2005,330.4
2006,West Bank,2006,248.4
2007,West Bank,2007,313.0
2008,West Bank,2008,441.5
2009,West Bank,2009,462.7
2010,West Bank,2010,446.8
2011,West Bank,2011,418.2
2012,West Bank,2012,505.3
2013,West Bank,2013,521.2
2014,West Bank,2014,479.2
2015,West Bank,2015,410.2
2016,West Bank,2016,483.7
2017,West Bank,2017,575.5
2018,West Bank,2018,599.5
2019,West Bank,2019,596.0
2000,Gaza Strip,2000,314.4
2001,Gaza Strip,2001,207.6
2002,Gaza Strip,2002,147.0
2003,Gaza Strip,2003,258.9
2004,Gaza Strip,2004,219.0
2005,Gaza Strip,2005,314.4
2006,Gaza Strip,2006,164.5
2007,Gaza Strip,2007,32.9
2008,Gaza Strip,2008,51.4
2009,Gaza Strip,2009,64.6
2010,Gaza Strip,2010,218.9
2011,Gaza Strip,2011,233.8
2012,Gaza Strip,2012,197.2
2013,Gaza Strip,2013,200.8
2014,Gaza Strip,2014,156.7
2015,Gaza Strip,2015,159.6
2016,Gaza Strip,2016,150.8
2017,Gaza Strip,2017,145.6
2018,Gaza Strip,2018,94.3
2019,Gaza Strip,2019,73.0
2000,Palestine,2000,325.9
2001,Palestine,2001,265.9
2002,Palestine,2002,196.9
2003,Palestine,2003,258.3
2004,Palestine,2004,265.2
2005,Palestine,2005,325.9
2006,Palestine,2006,215.0
2007,Palestine,2007,201.1
2008,Palestine,2008,284.6
2009,Palestine,2009,301.6
2010,Palestine,2010,354.0
2011,Palestine,2011,342.7
2012,Palestine,2012,378.5
2013,Palestine,2013,388.7
2014,Palestine,2014,345.1
2015,Palestine,2015,305.5
2016,Palestine,2016,344.0
2017,Palestine,2017,394.4
2018,Palestine,2018,385.8
2019,Palestine,2019,374.0
