Year,REF_AREA,TIME_DETAIL,SERIES,UNIT_MEASURE,Value
2000,West Bank,2000,AG_LND_FRST,PT,1.55
2001,West Bank,2001,AG_LND_FRST,PT,1.56
2002,West Bank,2002,AG_LND_FRST,PT,1.56
2003,West Bank,2003,AG_LND_FRST,PT,1.56
2004,West Bank,2004,AG_LND_FRST,PT,1.56
2005,West Bank,2005,AG_LND_FRST,PT,1.56
2006,West Bank,2006,AG_LND_FRST,PT,1.56
2007,West Bank,2007,AG_LND_FRST,PT,1.61
2008,West Bank,2008,AG_LND_FRST,PT,1.61
2009,West Bank,2009,AG_LND_FRST,PT,1.61
2010,West Bank,2010,AG_LND_FRST,PT,1.74
2011,West Bank,2011,AG_LND_FRST,PT,1.74
2000,Gaza Strip,2000,AG_LND_FRST,PT,0.88
2001,Gaza Strip,2001,AG_LND_FRST,PT,0.88
2002,Gaza Strip,2002,AG_LND_FRST,PT,0.88
2003,Gaza Strip,2003,AG_LND_FRST,PT,0.88
2004,Gaza Strip,2004,AG_LND_FRST,PT,0.88
2005,Gaza Strip,2005,AG_LND_FRST,PT,0.88
2006,Gaza Strip,2006,AG_LND_FRST,PT,0.88
2007,Gaza Strip,2007,AG_LND_FRST,PT,0.88
2008,Gaza Strip,2008,AG_LND_FRST,PT,0.88
2009,Gaza Strip,2009,AG_LND_FRST,PT,0.88
2010,Gaza Strip,2010,AG_LND_FRST,PT,0.88
2011,Gaza Strip,2011,AG_LND_FRST,PT,0.88
2000,PS,2000,AG_LND_FRST,PT,1.51
2001,PS,2001,AG_LND_FRST,PT,1.52
2002,PS,2002,AG_LND_FRST,PT,1.52
2003,PS,2003,AG_LND_FRST,PT,1.52
2004,PS,2004,AG_LND_FRST,PT,1.52
2005,PS,2005,AG_LND_FRST,PT,1.52
2006,PS,2006,AG_LND_FRST,PT,1.52
2007,PS,2007,AG_LND_FRST,PT,1.57
2008,PS,2008,AG_LND_FRST,PT,1.57
2009,PS,2009,AG_LND_FRST,PT,1.57
2010,PS,2010,AG_LND_FRST,PT,1.63
2011,PS,2011,AG_LND_FRST,PT,1.68
2000,Jenin,2000,AG_LND_FRST,PT,5.69
2001,Jenin,2001,AG_LND_FRST,PT,5.71
2002,Jenin,2002,AG_LND_FRST,PT,5.71
2003,Jenin,2003,AG_LND_FRST,PT,5.71
2004,Jenin,2004,AG_LND_FRST,PT,5.71
2005,Jenin,2005,AG_LND_FRST,PT,5.71
2006,Jenin,2006,AG_LND_FRST,PT,5.71
2007,Jenin,2007,AG_LND_FRST,PT,5.69
2008,Jenin,2008,AG_LND_FRST,PT,5.69
2009,Jenin,2009,AG_LND_FRST,PT,5.69
2010,Jenin,2010,AG_LND_FRST,PT,5.95
2011,Jenin,2011,AG_LND_FRST,PT,6.21
2000,Tubas & Northern Valleys,2000,AG_LND_FRST,PT,5.47
2001,Tubas & Northern Valleys,2001,AG_LND_FRST,PT,5.52
2002,Tubas & Northern Valleys,2002,AG_LND_FRST,PT,5.52
2003,Tubas & Northern Valleys,2003,AG_LND_FRST,PT,5.52
2004,Tubas & Northern Valleys,2004,AG_LND_FRST,PT,5.52
2005,Tubas & Northern Valleys,2005,AG_LND_FRST,PT,5.52
2006,Tubas & Northern Valleys,2006,AG_LND_FRST,PT,5.52
2007,Tubas & Northern Valleys,2007,AG_LND_FRST,PT,5.47
2008,Tubas & Northern Valleys,2008,AG_LND_FRST,PT,5.47
2009,Tubas & Northern Valleys,2009,AG_LND_FRST,PT,5.47
2010,Tubas & Northern Valleys,2010,AG_LND_FRST,PT,5.97
2011,Tubas & Northern Valleys,2011,AG_LND_FRST,PT,6.34
2000,Tulkarm,2000,AG_LND_FRST,PT,0.49
2001,Tulkarm,2001,AG_LND_FRST,PT,0.49
2002,Tulkarm,2002,AG_LND_FRST,PT,0.49
2003,Tulkarm,2003,AG_LND_FRST,PT,0.49
2004,Tulkarm,2004,AG_LND_FRST,PT,0.49
2005,Tulkarm,2005,AG_LND_FRST,PT,0.49
2006,Tulkarm,2006,AG_LND_FRST,PT,0.49
2007,Tulkarm,2007,AG_LND_FRST,PT,0.49
2008,Tulkarm,2008,AG_LND_FRST,PT,0.49
2009,Tulkarm,2009,AG_LND_FRST,PT,0.49
2010,Tulkarm,2010,AG_LND_FRST,PT,0.53
2011,Tulkarm,2011,AG_LND_FRST,PT,0.53
2000,Nablus,2000,AG_LND_FRST,PT,0.4
2001,Nablus,2001,AG_LND_FRST,PT,0.4
2002,Nablus,2002,AG_LND_FRST,PT,0.4
