Year,indicador-disponível,objectivo,meta,indicador,sériedescrição,província,sexo,idade,área-de-residência,nível-de-educação,ocupação,deficiência,composição-composta,quintil,unit,scale,Value
2015,G,9,9.1,9.1.2,IS_RDP_PFVOL,508,_T,_T,_T,_T,_T,_T,MOT_AIR,_T,106TKM,1,751.0
2016,G,9,9.1,9.1.2,IS_RDP_PFVOL,508,_T,_T,_T,_T,_T,_T,MOT_AIR,_T,106TKM,1,690.0
2017,G,9,9.1,9.1.2,IS_RDP_PFVOL,508,_T,_T,_T,_T,_T,_T,MOT_AIR,_T,106TKM,1,643.0
2015,G,9,9.1,9.1.2,IS_RDP_PFVOL,508,_T,_T,_T,_T,_T,_T,MOT_RAI,_T,106TKM,1,234.0
2016,G,9,9.1,9.1.2,IS_RDP_PFVOL,508,_T,_T,_T,_T,_T,_T,MOT_RAI,_T,106TKM,1,321.0
2017,G,9,9.1,9.1.2,IS_RDP_PFVOL,508,_T,_T,_T,_T,_T,_T,MOT_RAI,_T,106TKM,1,702.0
2015,G,9,9.1,9.1.2,IS_RDP_PFVOL,508,_T,_T,_T,_T,_T,_T,MOT_WAT,_T,106TKM,1,52.0
2016,G,9,9.1,9.1.2,IS_RDP_PFVOL,508,_T,_T,_T,_T,_T,_T,MOT_WAT,_T,106TKM,1,54.0
2017,G,9,9.1,9.1.2,IS_RDP_PFVOL,508,_T,_T,_T,_T,_T,_T,MOT_WAT,_T,106TKM,1,58.0
2015,G,9,9.1,9.1.2,IS_RDP_PFVOL,508,_T,_T,_T,_T,_T,_T,MOT_ROA,_T,106TKM,1,51892.0
2016,G,9,9.1,9.1.2,IS_RDP_PFVOL,508,_T,_T,_T,_T,_T,_T,MOT_ROA,_T,106TKM,1,48844.0
2017,G,9,9.1,9.1.2,IS_RDP_PFVOL,508,_T,_T,_T,_T,_T,_T,MOT_ROA,_T,106TKM,1,52202.0
2015,G,9,9.1,9.1.2,IS_RDP_PFVOL,508,_T,_T,_T,_T,_T,_T,MOT_TOT,_T,106TKM,1,52930.0
2016,G,9,9.1,9.1.2,IS_RDP_PFVOL,508,_T,_T,_T,_T,_T,_T,MOT_TOT,_T,106TKM,1,49909.0
2017,G,9,9.1,9.1.2,IS_RDP_PFVOL,508,_T,_T,_T,_T,_T,_T,MOT_TOT,_T,106TKM,1,53605.0
2015,G,9,9.1,9.1.2,IS_RDP_FRGVOL,508,_T,_T,_T,_T,_T,_T,MOT_AIR,_T,106TKM,1,5.0
2016,G,9,9.1,9.1.2,IS_RDP_FRGVOL,508,_T,_T,_T,_T,_T,_T,MOT_AIR,_T,106TKM,1,5.0
2017,G,9,9.1,9.1.2,IS_RDP_FRGVOL,508,_T,_T,_T,_T,_T,_T,MOT_AIR,_T,106TKM,1,4.0
2015,G,9,9.1,9.1.2,IS_RDP_FRGVOL,508,_T,_T,_T,_T,_T,_T,MOT_RAI,_T,106TKM,1,4278.0
2016,G,9,9.1,9.1.2,IS_RDP_FRGVOL,508,_T,_T,_T,_T,_T,_T,MOT_RAI,_T,106TKM,1,8969.0
2017,G,9,9.1,9.1.2,IS_RDP_FRGVOL,508,_T,_T,_T,_T,_T,_T,MOT_RAI,_T,106TKM,1,12541.0
2015,G,9,9.1,9.1.2,IS_RDP_FRGVOL,508,_T,_T,_T,_T,_T,_T,MOT_WAT,_T,106TKM,1,19.0
2016,G,9,9.1,9.1.2,IS_RDP_FRGVOL,508,_T,_T,_T,_T,_T,_T,MOT_WAT,_T,106TKM,1,19.0
2017,G,9,9.1,9.1.2,IS_RDP_FRGVOL,508,_T,_T,_T,_T,_T,_T,MOT_WAT,_T,106TKM,1,20.0
2015,G,9,9.1,9.1.2,IS_RDP_FRGVOL,508,_T,_T,_T,_T,_T,_T,MOT_ROA,_T,106TKM,1,4407.0
2016,G,9,9.1,9.1.2,IS_RDP_FRGVOL,508,_T,_T,_T,_T,_T,_T,MOT_ROA,_T,106TKM,1,4409.0
2017,G,9,9.1,9.1.2,IS_RDP_FRGVOL,508,_T,_T,_T,_T,_T,_T,MOT_ROA,_T,106TKM,1,4733.0
2015,G,9,9.1,9.1.2,IS_RDP_FRGVOL,508,_T,_T,_T,_T,_T,_T,MOT_PIP,_T,106TKM,1,440.0
2016,G,9,9.1,9.1.2,IS_RDP_FRGVOL,508,_T,_T,_T,_T,_T,_T,MOT_PIP,_T,106TKM,1,375.0
2017,G,9,9.1,9.1.2,IS_RDP_FRGVOL,508,_T,_T,_T,_T,_T,_T,MOT_PIP,_T,106TKM,1,353.0
2015,G,9,9.1,9.1.2,IS_RDP_FRGVOL,508,_T,_T,_T,_T,_T,_T,MOT_TOT,_T,106TKM,1,9149.0
2016,G,9,9.1,9.1.2,IS_RDP_FRGVOL,508,_T,_T,_T,_T,_T,_T,MOT_TOT,_T,106TKM,1,13777.0
2017,G,9,9.1,9.1.2,IS_RDP_FRGVOL,508,_T,_T,_T,_T,_T,_T,MOT_TOT,_T,106TKM,1,17650.0
