Value,Disaggregation combinations using this value,Number of indicators
Constant USD,1,1
Index,3,2
Number,2,2
"per 1,000 live births",2,2
"per 1,000 population",3,2
"per 100,000 employees",1,1
"per 100,000 live births",1,1
"per 100,000 population",3,3
Percent,81,58
tonne kilometres,1,1
