Year,TIME_DETAIL,UNIT_MEASURE,SERIES,Value
2002,2002,NUMBER,SE_PRE_PARTN,160
2006,2006,NUMBER,SE_PRE_PARTN,170
2009,2009,NUMBER,SE_PRE_PARTN,150
2012,2012,NUMBER,SE_PRE_PARTN,120
2015,2015,NUMBER,SE_PRE_PARTN,100
