Year,AREA,TIME_DETAIL,Value
2000,West Bank,2000,8.4
2001,West Bank,2001,8.6
2002,West Bank,2002,11.0
2003,West Bank,2003,10.2
2004,West Bank,2004,6.1
2005,West Bank,2005,7.2
2006,West Bank,2006,7.6
2007,West Bank,2007,5.5
2008,West Bank,2008,5.5
2009,West Bank,2009,7.5
2010,West Bank,2010,5.6
2011,West Bank,2011,0.0
2012,West Bank,2012,5.5
2013,West Bank,2013,8.2
2014,West Bank,2014,6.4
2015,West Bank,2015,7.7
2016,West Bank,2016,10.5
2017,West Bank,2017,6.9
2018,West Bank,2018,7.3
2019,West Bank,2019,6.3
2000,Gaza Strip,2000,6.4
2001,Gaza Strip,2001,3.4
2002,Gaza Strip,2002,4.9
2003,Gaza Strip,2003,5.5
2004,Gaza Strip,2004,9.2
2005,Gaza Strip,2005,8.6
2006,Gaza Strip,2006,5.2
2007,Gaza Strip,2007,6.6
2008,Gaza Strip,2008,7.0
2009,Gaza Strip,2009,7.2
2010,Gaza Strip,2010,2.6
2011,Gaza Strip,2011,0.0
2012,Gaza Strip,2012,4.5
2013,Gaza Strip,2013,4.1
2014,Gaza Strip,2014,16.0
2015,Gaza Strip,2015,9.5
2016,Gaza Strip,2016,5.9
2017,Gaza Strip,2017,4.3
2018,Gaza Strip,2018,6.1
2019,Gaza Strip,2019,4.6
2000,Palestine,2000,7.9
2001,Palestine,2001,7.0
2002,Palestine,2002,9.6
2003,Palestine,2003,9.0
2004,Palestine,2004,6.8
2005,Palestine,2005,7.4
2006,Palestine,2006,7.1
2007,Palestine,2007,5.6
2008,Palestine,2008,5.6
2009,Palestine,2009,7.5
2010,Palestine,2010,5.2
2011,Palestine,2011,0.0
2012,Palestine,2012,5.4
2013,Palestine,2013,7.6
2014,Palestine,2014,8.0
2015,Palestine,2015,8.1
2016,Palestine,2016,9.8
2017,Palestine,2017,6.5
2018,Palestine,2018,7.2
2019,Palestine,2019,6.2
