Year,SEX,REF_AREA,TIME_DETAIL,SERIES,Value
2000,M,West Bank,2000,SL_TLF_NEET,
2001,M,West Bank,2001,SL_TLF_NEET,
2002,M,West Bank,2002,SL_TLF_NEET,
2003,M,West Bank,2003,SL_TLF_NEET,
2004,M,West Bank,2004,SL_TLF_NEET,
2005,M,West Bank,2005,SL_TLF_NEET,
2006,M,West Bank,2006,SL_TLF_NEET,
2007,M,West Bank,2007,SL_TLF_NEET,
2008,M,West Bank,2008,SL_TLF_NEET,
2009,M,West Bank,2009,SL_TLF_NEET,
2010,M,West Bank,2010,SL_TLF_NEET,
2011,M,West Bank,2011,SL_TLF_NEET,
2012,M,West Bank,2012,SL_TLF_NEET,
2013,M,West Bank,2013,SL_TLF_NEET,
2014,M,West Bank,2014,SL_TLF_NEET,
2015,M,West Bank,2015,SL_TLF_NEET,
2016,M,West Bank,2016,SL_TLF_NEET,
2017,M,West Bank,2017,SL_TLF_NEET,
2000,M,Gaza Strip,2000,SL_TLF_NEET,
2001,M,Gaza Strip,2001,SL_TLF_NEET,
2002,M,Gaza Strip,2002,SL_TLF_NEET,
2003,M,Gaza Strip,2003,SL_TLF_NEET,
2004,M,Gaza Strip,2004,SL_TLF_NEET,
2005,M,Gaza Strip,2005,SL_TLF_NEET,
2006,M,Gaza Strip,2006,SL_TLF_NEET,
2007,M,Gaza Strip,2007,SL_TLF_NEET,
2008,M,Gaza Strip,2008,SL_TLF_NEET,
2009,M,Gaza Strip,2009,SL_TLF_NEET,
2010,M,Gaza Strip,2010,SL_TLF_NEET,
2011,M,Gaza Strip,2011,SL_TLF_NEET,
2012,M,Gaza Strip,2012,SL_TLF_NEET,
2013,M,Gaza Strip,2013,SL_TLF_NEET,
2014,M,Gaza Strip,2014,SL_TLF_NEET,
2015,M,Gaza Strip,2015,SL_TLF_NEET,
2016,M,Gaza Strip,2016,SL_TLF_NEET,
2017,M,Gaza Strip,2017,SL_TLF_NEET,
2000,M,PS,2000,SL_TLF_NEET,19.7
2001,M,PS,2001,SL_TLF_NEET,27.4
2002,M,PS,2002,SL_TLF_NEET,29.1
2003,M,PS,2003,SL_TLF_NEET,25.3
2004,M,PS,2004,SL_TLF_NEET,24.7
2005,M,PS,2005,SL_TLF_NEET,22.3
2006,M,PS,2006,SL_TLF_NEET,22.9
2007,M,PS,2007,SL_TLF_NEET,23.7
2008,M,PS,2008,SL_TLF_NEET,24.6
2009,M,PS,2009,SL_TLF_NEET,23.6
2010,M,PS,2010,SL_TLF_NEET,24.3
2011,M,PS,2011,SL_TLF_NEET,21.2
2012,M,PS,2012,SL_TLF_NEET,22.9
2013,M,PS,2013,SL_TLF_NEET,24.3
2014,M,PS,2014,SL_TLF_NEET,26.5
2015,M,PS,2015,SL_TLF_NEET,26.6
2016,M,PS,2016,SL_TLF_NEET,26.3
2017,M,PS,2017,SL_TLF_NEET,27.7
2000,F,West Bank,2000,SL_TLF_NEET,
2001,F,West Bank,2001,SL_TLF_NEET,
2002,F,West Bank,2002,SL_TLF_NEET,
2003,F,West Bank,2003,SL_TLF_NEET,
2004,F,West Bank,2004,SL_TLF_NEET,
2005,F,West Bank,2005,SL_TLF_NEET,
2006,F,West Bank,2006,SL_TLF_NEET,
2007,F,West Bank,2007,SL_TLF_NEET,
2008,F,West Bank,2008,SL_TLF_NEET,
