Year,seriesdescription,area,sex,age,urbanisation,education-level,unit,TIME_DETAIL,Value
2010,DC_TRF_TFDV,BI,_T,_T,_T,_T,,2010,627.61
2011,DC_TRF_TFDV,BI,_T,_T,_T,_T,,2011,572.24
2012,DC_TRF_TFDV,BI,_T,_T,_T,_T,,2012,524.17
2013,DC_TRF_TFDV,BI,_T,_T,_T,_T,,2013,558.83
2014,DC_TRF_TFDV,BI,_T,_T,_T,_T,,2014,515.4
2015,DC_TRF_TFDV,BI,_T,_T,_T,_T,,2015,366.54
