Value,Disaggregation combinations using this value,Number of indicators
décès pour 100 000 naissances vivantes,1,1
en USD,6,1
million USD,4,1
Nombre de décès pour 100000 naissances vivantes,10,2
Percent,806,72
pour 1000 personnes non infectées,3,1
tonne/travailleur,1,1
UBT /travailleur,4,2
USD/personne,1,1
USD,1,1
