Year,REF_AREA,TIME_DETAIL,SERIES,UNIT_MEASURE,Value
2014,West Bank,2014,VC_VAW_MTUHRA,,0
2015,West Bank,2015,VC_VAW_MTUHRA,,1
2016,West Bank,2016,VC_VAW_MTUHRA,,1
2017,West Bank,2017,VC_VAW_MTUHRA,,0
2018,West Bank,2018,VC_VAW_MTUHRA,,0
2019,West Bank,2019,VC_VAW_MTUHRA,,0
2014,Gaza Strip,2014,VC_VAW_MTUHRA,,17
2015,Gaza Strip,2015,VC_VAW_MTUHRA,,0
2016,Gaza Strip,2016,VC_VAW_MTUHRA,,0
2017,Gaza Strip,2017,VC_VAW_MTUHRA,,0
2018,Gaza Strip,2018,VC_VAW_MTUHRA,,2
2019,Gaza Strip,2019,VC_VAW_MTUHRA,,0
2014,PS,2014,VC_VAW_MTUHRA,,17
2015,PS,2015,VC_VAW_MTUHRA,,1
2016,PS,2016,VC_VAW_MTUHRA,,1
2017,PS,2017,VC_VAW_MTUHRA,,0
2018,PS,2018,VC_VAW_MTUHRA,,2
2019,PS,2019,VC_VAW_MTUHRA,,0
