Year,SEX,TIME_DETAIL,UNIT_MEASURE,SERIES,Value
2016,_T,2016,NUMBER,,101.6
2016,M,2016,NUMBER,,101.7
2016,F,2016,NUMBER,,101.6
2017,_T,2017,NUMBER,,103.6
2017,M,2017,NUMBER,,103.8
2017,F,2017,NUMBER,,103.3
2018,_T,2018,NUMBER,,103.7
2018,M,2018,NUMBER,,103.3
2018,F,2018,NUMBER,,104.1
