Year,seriesdescription,area,sex,age,urbanisation,education-level,unit,scale,Value
2010,D36,BI,_T,_T,_T,_T,,1,15.7
2011,D36,BI,_T,_T,_T,_T,,1,38.1
2012,D36,BI,_T,_T,_T,_T,,1,42.0
2013,D36,BI,_T,_T,_T,_T,,1,57.9
2014,D36,BI,_T,_T,_T,_T,,1,72.9
2015,D36,BI,_T,_T,_T,_T,,1,65.9
2016,D36,BI,_T,_T,_T,_T,,1,81.0
2017,D36,BI,_T,_T,_T,_T,,1,68.73
