Year,TIME_DETAIL,UNIT_MEASURE,SERIES,Value
2001,2001,NUMBER,EG_EGY_PRIM,3.35
2002,2002,NUMBER,EG_EGY_PRIM,3.92
2003,2003,NUMBER,EG_EGY_PRIM,3.75
2004,2004,NUMBER,EG_EGY_PRIM,4.76
2005,2005,NUMBER,EG_EGY_PRIM,4.98
2006,2006,NUMBER,EG_EGY_PRIM,4.51
2007,2007,NUMBER,EG_EGY_PRIM,4.41
2008,2008,NUMBER,EG_EGY_PRIM,3.97
2009,2009,NUMBER,EG_EGY_PRIM,3.74
2010,2010,NUMBER,EG_EGY_PRIM,3.67
2011,2011,NUMBER,EG_EGY_PRIM,3.57
2012,2012,NUMBER,EG_EGY_PRIM,3.31
2013,2013,NUMBER,EG_EGY_PRIM,3.4
2014,2014,NUMBER,EG_EGY_PRIM,3.83
2015,2015,NUMBER,EG_EGY_PRIM,3.9
2016,2016,NUMBER,EG_EGY_PRIM,3.96
2017,2017,NUMBER,EG_EGY_PRIM,3.75
2018,2018,NUMBER,EG_EGY_PRIM,3.6
