Year,seriesdescription,geoarea,sex,age,urbanisation,unit,TIME_DETAIL,Value
2014,SG_URB_PLAN,716,_T,_T,_T,Percent,2014,100.0
2015,SG_URB_PLAN,716,_T,_T,_T,Percent,2015,100.0
2016,SG_URB_PLAN,716,_T,_T,_T,Percent,2016,100.0
2017,SG_URB_PLAN,716,_T,_T,_T,Percent,2017,100.0
2018,SG_URB_PLAN,716,_T,_T,_T,Percent,2018,100.0
