Year,seriesdescription,geoarea,sex,age,urbanisation,unit,TIME_DETAIL,Value
2014,SH_H2O_SAFE,716,_T,_T,_T,Percent,2014,76.0
2015,SH_H2O_SAFE,716,_T,_T,_T,Percent,2015,78.0
