Year,SEX,TIME_DETAIL,SERIES,UNIT_MEASURE,Value
2016,_T,2016,SE_ADT_EDUCTRN,NUMBER,15.0
2016,M,2016,SE_ADT_EDUCTRN,NUMBER,18.0
2016,F,2016,SE_ADT_EDUCTRN,NUMBER,12.8
2017,_T,2017,SE_ADT_EDUCTRN,NUMBER,15.7
2017,M,2017,SE_ADT_EDUCTRN,NUMBER,20.0
2017,F,2017,SE_ADT_EDUCTRN,NUMBER,12.2
2018,_T,2018,SE_ADT_EDUCTRN,NUMBER,13.2
2018,M,2018,SE_ADT_EDUCTRN,NUMBER,17.5
2018,F,2018,SE_ADT_EDUCTRN,NUMBER,9.8
