Year,seriesdescription,area,sex,age,urbanisation,education-level,unit,TIME_DETAIL,Value
2015,SD_XPD_ESED,BI,_T,_T,_T,_T,Percent,2015,39.0
2016,SD_XPD_ESED,BI,_T,_T,_T,_T,Percent,2016,39.0
