Value,Disaggregation combinations using this value,Number of indicators
AG_LND_FRST,1,1
AG_LND_FRSTPRCT,1,1
DC_ODA_BDVL,1,1
DC_TOF_AGRL,1,1
DC_TOF_INFRAL,1,1
DC_TRF_TOTL,1,1
EG_ACS_ELEC,3,1
EG_EGY_CLEAN,1,1
EN_SCP_FSHGDP,1,1
EN_WWT_WWDS,1,1
ER_GRF_PLNTSTOR,1,1
GB_XPD_RSDV,1,1
IT_MOB_2GNTWK,1,1
IT_NET_BBND,1,1
IT_USE_II99,1,1
N_KH_010301_01,1,1
N_KH_010401_01,1,1
N_KH_020301_01,1,1
N_KH_020401_01,1,1
N_KH_020502_01,1,1
N_KH_030101_01,81,1
N_KH_030102_01,35,1
N_KH_030502_01,1,1
N_KH_030601_01,1,1
N_KH_030602_01,1,1
N_KH_030801_01,1,1
N_KH_030802_01,1,1
N_KH_030901_01,1,1
N_KH_030902_01,1,1
N_KH_030a02_01,1,1
N_KH_04010101_01,87,1
N_KH_04010102_01,87,1
N_KH_040201_01,1,1
N_KH_040301_01,3,1
N_KH_040302_01,1,1
N_KH_040501_01,3,1
N_KH_040502_01,28,1
N_KH_040601_01,33,1
N_KH_040c02_01,1,1
N_KH_040c03_01,1,1
N_KH_040c04_01,1,1
N_KH_040c05_01,1,1
N_KH_050101_01,1,1
N_KH_050401_01,1,1
N_KH_050502_01,1,1
N_KH_050502_02,1,1
N_KH_050503_01,1,1
N_KH_050602_01,1,1
N_KH_050c01_01,1,1
N_KH_050c02_01,1,1
N_KH_060401_01,1,1
N_KH_060a01_01,1,1
N_KH_070201_02,1,1
N_KH_070301_01,1,1
N_KH_08020201_01,1,1
N_KH_08020202_01,1,1
N_KH_08020203_01,1,1
N_KH_08020301_01,1,1
N_KH_08020302_01,1,1
N_KH_080902_01,1,1
N_KH_080a01_01,1,1
N_KH_090101_01,1,1
N_KH_090102_01,1,1
N_KH_090102_02,1,1
N_KH_090103_01,1,1
N_KH_090103_02,1,1
N_KH_100401_01,25,1
N_KH_100a01_01,1,1
N_KH_110601_01,1,1
N_KH_110602_01,1,1
N_KH_110603_01,1,1
N_KH_110604_01,1,1
N_KH_120401_01,1,1
N_KH_120402_01,1,1
N_KH_120403_01,1,1
N_KH_120501_01,1,1
N_KH_130101_01,1,1
N_KH_130201_01,1,1
N_KH_130202_01,1,1
N_KH_130301_01,1,1
N_KH_130302_01,1,1
N_KH_140101_01,1,1
N_KH_140202_01,1,1
N_KH_140b01_01,1,1
N_KH_141501_01,1,1
N_KH_141502_01,1,1
N_KH_150102_01,1,1
N_KH_150103_01,1,1
N_KH_150301_01,1,1
N_KH_150501_01,1,1
N_KH_150701_01,1,1
N_KH_150902_01,1,1
N_KH_160301_01,1,1
N_KH_160701_01,1,1
N_KH_170301_01,1,1
N_KH_170901_01,1,1
N_KH_170902_01,1,1
N_KH_171001_01,1,1
N_KH_171701_01,1,1
N_KH_171802_01,1,1
N_KH_180101_01,1,1
N_KH_180201_01,26,1
N_KH_180202_01,1,1
N_KH_180301_01,1,1
N_KH_180302_01,1,1
N_KH_180303_01,1,1
NY_GDP_PCAP,1,1
SD_SDG_AVLB,1,1
SE_ACS_H2O,1,1
SE_ACS_SANIT,1,1
SE_INF_DSBL,1,1
SE_PRE_PARTN,1,1
SE_TRA_GRDL,1,1
SG_GEN_PARL,1,1
SG_REG_BRTH,1,1
SG_REG_CENSUSN,1,1
SH_DTH_NCOM,1,1
SH_DYN_MORT,33,1
SH_DYN_NMRT,43,1
SH_FPL_INFM,1,1
SH_H2O_SAFE,8,1
SH_HIV_INCD,1,1
SH_MED_DEN,1,1
SH_PRV_SMOK,2,1
SH_SAN_SAFE,6,1
SH_STA_BRTC,26,1
SH_STA_MALR,1,1
SH_STA_MORT,25,1
SH_STA_STNT,33,1
SH_STA_TRAF,1,1
SH_STA_WAST,33,1
SH_TBS_INCD,1,1
SI_HEI_TOTL,1,1
SI_POV_50MI,1,1
SI_POV_NAHC,4,1
SI_POV_NMPI,1,1
SL_TLF_MANF,1,1
SP_DYN_MRBF18,1,1
ST_GDP_ZS,1,1
VC_VAW_MARR,1,1
VC_VAW_NONMARR,1,1
