Disaggregation,Number of indicators,Number of values
AGE,17,21
COMPOSITE_BREAKDOWN,2,8
EDUCATION_LEV,4,4
FREQ,138,1
INCOME_WEALTH_QUANTILE,6,7
NATURE,138,1
OBS_STATUS,138,1
REF_AREA,138,34
REPORTING_TYPE,138,1
SERIES,138,141
SEX,21,2
SOURCE_DETAIL,137,57
TIME_DETAIL,138,12
UNIT_MEASURE,138,14
UNIT_MULT,138,3
URBANISATION,15,3
