Year,seriesdescription,geoarea,sex,age,location,disability,unit,scale,Value
2016,EG_ACS_ELEC,UG,F,_T,_T,_T,%,1,18.0
2016,EG_ACS_ELEC,UG,M,_T,_T,_T,%,1,57.5
2016,EG_ACS_ELEC,UG,_T,_T,_T,_T,%,1,26.7
