Year,SERIES,REF_AREA,SEX,AGE,location,disability,UNIT_MEASURE,UNIT_MULT,REPORTING_TYPE,TIME_DETAIL,Value
2017,VC_SNS_WALN,UG,F,_T,_T,_T,PT,0,N,2017,55.0
2017,VC_SNS_WALN,UG,M,_T,_T,_T,PT,0,N,2017,65.0
2017,VC_SNS_WALN,UG,_T,_T,_T,_T,PT,0,N,2017,61.0
