Year,seriesdescription,geoarea,sex,age,location,disability,unit,TIME_DETAIL,Value
2016,SL_TLF_NEET,UG,F,_T,_T,_T,%,2016,27.2
2016,SL_TLF_NEET,UG,M,_T,_T,_T,%,2016,46.9
2016,SL_TLF_NEET,UG,_T,_T,_T,_T,%,2016,40.7
