Year,SERIES,REF_AREA,SEX,AGE,URBANISATION,UNIT_MEASURE,UNIT_MULT,TIME_DETAIL,Value
2014,EN_LND_SLUM,716,_T,_T,_T,PT,0,2014,0.33
2015,EN_LND_SLUM,716,_T,_T,_T,PT,0,2015,0.33
2016,EN_LND_SLUM,716,_T,_T,_T,PT,0,2016,0.33
2017,EN_LND_SLUM,716,_T,_T,_T,PT,0,2017,0.4
2018,EN_LND_SLUM,716,_T,_T,_T,PT,0,2018,0.33
