Year,SERIES,REF_AREA,SEX,AGE,URBANISATION,EDUCATION_LEV,UNIT_MEASURE,UNIT_MULT,TIME_DETAIL,Value
2010,D200,BI,_T,_T,_T,_T,,0,2010,43.0
2011,D200,BI,_T,_T,_T,_T,,0,2011,45.0
2012,D200,BI,_T,_T,_T,_T,,0,2012,50.0
2013,D200,BI,_T,_T,_T,_T,,0,2013,44.0
2014,D200,BI,_T,_T,_T,_T,,0,2014,47.0
2015,D200,BI,_T,_T,_T,_T,,0,2015,48.0
2016,D200,BI,_T,_T,_T,_T,,0,2016,59.0
2017,D200,BI,_T,_T,_T,_T,,0,2017,59.0
