Year,seriesdescription,area,sex,age,urbanisation,education-level,unit,scale,Value
2010,SH_PRV_SMOK,BI,_T,Y_GE15,_T,_T,,1,28.0
2012,SH_PRV_SMOK,BI,_T,Y_GE15,_T,_T,,1,22.0
