Year,seriesdescription,geoarea,sex,age,urbanisation,unit,scale,Value
2019,SH_STA_WASTE,716,_T,_T,_T,Percent,1,2.9
2019,SH_STA_OVRWGT,716,_T,_T,_T,Percent,1,2.5
