Year,seriesdescription,area,sex,age,urbanisation,education-level,unit,scale,Value
2010,NY_GDP_PCAP,BI,_T,_T,_T,_T,,1,239.0
2011,NY_GDP_PCAP,BI,_T,_T,_T,_T,,1,256.0
2012,NY_GDP_PCAP,BI,_T,_T,_T,_T,,1,259.0
2013,NY_GDP_PCAP,BI,_T,_T,_T,_T,,1,266.0
