Year,SEX,REF_AREA,REPORTING_TYPE,TIME_DETAIL,SERIES,UNIT_MEASURE,Value
2000,M,West Bank,N,2000,SH_STA_STNT,PT,
2001,M,West Bank,N,2001,SH_STA_STNT,PT,
2002,M,West Bank,N,2002,SH_STA_STNT,PT,
2006,M,West Bank,N,2006,SH_STA_STNT,PT,
2007,M,West Bank,N,2007,SH_STA_STNT,PT,
2008,M,West Bank,N,2008,SH_STA_STNT,PT,
2014,M,West Bank,N,2014,SH_STA_STNT,PT,
2015,M,West Bank,N,2015,SH_STA_STNT,PT,
2016,M,West Bank,N,2016,SH_STA_STNT,PT,
2019,M,West Bank,N,2019,SH_STA_STNT,PT,
2000,M,Gaza Strip,N,2000,SH_STA_STNT,PT,
2001,M,Gaza Strip,N,2001,SH_STA_STNT,PT,
2002,M,Gaza Strip,N,2002,SH_STA_STNT,PT,
2006,M,Gaza Strip,N,2006,SH_STA_STNT,PT,
2007,M,Gaza Strip,N,2007,SH_STA_STNT,PT,
2008,M,Gaza Strip,N,2008,SH_STA_STNT,PT,
2014,M,Gaza Strip,N,2014,SH_STA_STNT,PT,
2015,M,Gaza Strip,N,2015,SH_STA_STNT,PT,
2016,M,Gaza Strip,N,2016,SH_STA_STNT,PT,
2019,M,Gaza Strip,N,2019,SH_STA_STNT,PT,
2000,M,PS,N,2000,SH_STA_STNT,PT,7.0
2001,M,PS,N,2001,SH_STA_STNT,PT,10.4
2002,M,PS,N,2002,SH_STA_STNT,PT,8.1
2006,M,PS,N,2006,SH_STA_STNT,PT,10.4
2007,M,PS,N,2007,SH_STA_STNT,PT,10.4
2008,M,PS,N,2008,SH_STA_STNT,PT,8.1
2014,M,PS,N,2014,SH_STA_STNT,PT,8.1
2015,M,PS,N,2015,SH_STA_STNT,PT,10.4
2016,M,PS,N,2016,SH_STA_STNT,PT,8.1
2019,M,PS,N,2019,SH_STA_STNT,PT,8.6
2000,F,West Bank,N,2000,SH_STA_STNT,PT,
2001,F,West Bank,N,2001,SH_STA_STNT,PT,
2002,F,West Bank,N,2002,SH_STA_STNT,PT,
2006,F,West Bank,N,2006,SH_STA_STNT,PT,
2007,F,West Bank,N,2007,SH_STA_STNT,PT,
2008,F,West Bank,N,2008,SH_STA_STNT,PT,
2014,F,West Bank,N,2014,SH_STA_STNT,PT,
2015,F,West Bank,N,2015,SH_STA_STNT,PT,
2016,F,West Bank,N,2016,SH_STA_STNT,PT,
2019,F,West Bank,N,2019,SH_STA_STNT,PT,
2000,F,Gaza Strip,N,2000,SH_STA_STNT,PT,
2001,F,Gaza Strip,N,2001,SH_STA_STNT,PT,
2002,F,Gaza Strip,N,2002,SH_STA_STNT,PT,
2006,F,Gaza Strip,N,2006,SH_STA_STNT,PT,
2007,F,Gaza Strip,N,2007,SH_STA_STNT,PT,
2008,F,Gaza Strip,N,2008,SH_STA_STNT,PT,
2014,F,Gaza Strip,N,2014,SH_STA_STNT,PT,
2015,F,Gaza Strip,N,2015,SH_STA_STNT,PT,
2016,F,Gaza Strip,N,2016,SH_STA_STNT,PT,
2019,F,Gaza Strip,N,2019,SH_STA_STNT,PT,
2000,F,PS,N,2000,SH_STA_STNT,PT,8.1
2001,F,PS,N,2001,SH_STA_STNT,PT,
2002,F,PS,N,2002,SH_STA_STNT,PT,
2006,F,PS,N,2006,SH_STA_STNT,PT,10.0
2007,F,PS,N,2007,SH_STA_STNT,PT,
2008,F,PS,N,2008,SH_STA_STNT,PT,
2014,F,PS,N,2014,SH_STA_STNT,PT,6.6
2015,F,PS,N,2015,SH_STA_STNT,PT,
2016,F,PS,N,2016,SH_STA_STNT,PT,
2019,F,PS,N,2019,SH_STA_STNT,PT,8.8
2000,_T,West Bank,N,2000,SH_STA_STNT,PT,7.0
2001,_T,West Bank,N,2001,SH_STA_STNT,PT,7.9
2002,_T,West Bank,N,2002,SH_STA_STNT,PT,7.7
2006,_T,West Bank,N,2006,SH_STA_STNT,PT,7.9
2007,_T,West Bank,N,2007,SH_STA_STNT,PT,7.9
2008,_T,West Bank,N,2008,SH_STA_STNT,PT,7.7
2014,_T,West Bank,N,2014,SH_STA_STNT,PT,7.7
2015,_T,West Bank,N,2015,SH_STA_STNT,PT,7.9
2016,_T,West Bank,N,2016,SH_STA_STNT,PT,7.7
2019,_T,West Bank,N,2019,SH_STA_STNT,PT,8.5
2000,_T,Gaza Strip,N,2000,SH_STA_STNT,PT,8.3
2001,_T,Gaza Strip,N,2001,SH_STA_STNT,PT,
2002,_T,Gaza Strip,N,2002,SH_STA_STNT,PT,
2006,_T,Gaza Strip,N,2006,SH_STA_STNT,PT,13.2
2007,_T,Gaza Strip,N,2007,SH_STA_STNT,PT,
2008,_T,Gaza Strip,N,2008,SH_STA_STNT,PT,
2014,_T,Gaza Strip,N,2014,SH_STA_STNT,PT,7.1
2015,_T,Gaza Strip,N,2015,SH_STA_STNT,PT,
2016,_T,Gaza Strip,N,2016,SH_STA_STNT,PT,
2019,_T,Gaza Strip,N,2019,SH_STA_STNT,PT,9.0
2000,_T,PS,N,2000,SH_STA_STNT,PT,7.5
2001,_T,PS,N,2001,SH_STA_STNT,PT,10.2
2002,_T,PS,N,2002,SH_STA_STNT,PT,7.4
2006,_T,PS,N,2006,SH_STA_STNT,PT,10.2
2007,_T,PS,N,2007,SH_STA_STNT,PT,10.2
2008,_T,PS,N,2008,SH_STA_STNT,PT,7.4
2014,_T,PS,N,2014,SH_STA_STNT,PT,7.4
2015,_T,PS,N,2015,SH_STA_STNT,PT,10.2
2016,_T,PS,N,2016,SH_STA_STNT,PT,7.4
2019,_T,PS,N,2019,SH_STA_STNT,PT,8.7
