Year,REF_AREA,REPORTING_TYPE,TIME_DETAIL,SERIES,UNIT_MEASURE,Value
2001,West Bank,N,2001,EG_EGY_CLEAN,PT,98.8
2003,West Bank,N,2003,EG_EGY_CLEAN,PT,97.6
2004,West Bank,N,2004,EG_EGY_CLEAN,PT,98.6
2005,West Bank,N,2005,EG_EGY_CLEAN,PT,98.0
2006,West Bank,N,2006,EG_EGY_CLEAN,PT,96.2
2007,West Bank,N,2007,EG_EGY_CLEAN,PT,98.2
2008,West Bank,N,2008,EG_EGY_CLEAN,PT,98.6
2009,West Bank,N,2009,EG_EGY_CLEAN,PT,99.1
2010,West Bank,N,2010,EG_EGY_CLEAN,PT,98.9
2011,West Bank,N,2011,EG_EGY_CLEAN,PT,99.0
2013,West Bank,N,2013,EG_EGY_CLEAN,PT,99.8
2014,West Bank,N,2014,EG_EGY_CLEAN,PT,99.2
2015,West Bank,N,2015,EG_EGY_CLEAN,PT,99.1
2017,West Bank,N,2017,EG_EGY_CLEAN,PT,99.6
2001,Gaza Strip,N,2001,EG_EGY_CLEAN,PT,98.1
2003,Gaza Strip,N,2003,EG_EGY_CLEAN,PT,98.2
2004,Gaza Strip,N,2004,EG_EGY_CLEAN,PT,99.9
2005,Gaza Strip,N,2005,EG_EGY_CLEAN,PT,98.7
2006,Gaza Strip,N,2006,EG_EGY_CLEAN,PT,96.1
2007,Gaza Strip,N,2007,EG_EGY_CLEAN,PT,98.6
2008,Gaza Strip,N,2008,EG_EGY_CLEAN,PT,75.2
2009,Gaza Strip,N,2009,EG_EGY_CLEAN,PT,99.6
2010,Gaza Strip,N,2010,EG_EGY_CLEAN,PT,98.9
2011,Gaza Strip,N,2011,EG_EGY_CLEAN,PT,93.5
2013,Gaza Strip,N,2013,EG_EGY_CLEAN,PT,99.1
2014,Gaza Strip,N,2014,EG_EGY_CLEAN,PT,96.0
2015,Gaza Strip,N,2015,EG_EGY_CLEAN,PT,82.5
2017,Gaza Strip,N,2017,EG_EGY_CLEAN,PT,98.8
2001,PS,N,2001,EG_EGY_CLEAN,PT,98.6
2003,PS,N,2003,EG_EGY_CLEAN,PT,97.8
2004,PS,N,2004,EG_EGY_CLEAN,PT,99.0
2005,PS,N,2005,EG_EGY_CLEAN,PT,98.2
2006,PS,N,2006,EG_EGY_CLEAN,PT,96.1
2007,PS,N,2007,EG_EGY_CLEAN,PT,98.3
2008,PS,N,2008,EG_EGY_CLEAN,PT,90.7
2009,PS,N,2009,EG_EGY_CLEAN,PT,99.3
2010,PS,N,2010,EG_EGY_CLEAN,PT,98.9
2011,PS,N,2011,EG_EGY_CLEAN,PT,97.2
2013,PS,N,2013,EG_EGY_CLEAN,PT,99.6
2014,PS,N,2014,EG_EGY_CLEAN,PT,97.9
