Year,Value
2000,132365.95
2001,20033.77
2003,10732.37
2005,5775.0
2006,5775.0
2009,1042087.0
2010,435262.0
2012,230850.0
2013,3312975.0
2015,5488201.0
2016,5351218.0
2017,563823.0
